	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
ENO1-AS1	5.02287292524087	4.73636827958541	4.73636827958541	5.32397007744205	4.73636827958541	4.96827492553327
CA6	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SLC2A7	5.14088675102938	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SLC2A5	5.30660048751758	5.68445373709952	5.42607438934602	5.39221541509149	5.25529242349373	5.46281249389517
GPR157	10.699017144869	10.655497647669	10.6335075478981	10.0759302644514	10.0468017425033	10.2111563722986
RP3-510D11.1	5.98082096946791	6.08043206093744	5.74086988970397	6.20882893352022	6.00780325565402	6.39606291905949
RP3-510D11.2	6.06518327090882	6.2431684786618	5.94020023871036	6.69511124674544	6.74282489893917	6.65522124644632
H6PD	8.91651908219025	8.84058709357677	8.61456381417966	9.29270467000023	9.10464001616472	9.01446760046459
SPSB1	8.50600530562316	8.76648999632846	8.3823769532964	8.86572384448792	8.76918505935346	8.91246207351265
RP13-392I16.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
SLC25A33	9.52935468540797	9.80366814464134	9.60521187057347	9.0905760807924	9.18188487094296	9.15417363597789
TMEM201	10.3954311324136	10.4716798508032	10.4190191019503	9.56700594192183	9.62196265287286	9.49004186597645
PIK3CD	9.1056357356121	8.85930265943094	8.87293829873877	10.6394621058792	11.0098658032152	10.7681809862038
PIK3CD-AS1	4.73636827958541	4.73636827958541	4.73636827958541	5.0316882792222	4.73636827958541	4.73636827958541
PIK3CD-AS2	6.88206256105806	6.88118365808162	6.98110883001182	6.41506621108267	6.18130670382894	6.14770067813182
CLSTN1	13.5604619276606	13.6092027877638	13.5371774471709	12.9101387935118	12.8810041966507	12.9561629882673
AL357140.1	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
CTNNBIP1	9.1519463638756	9.21920152100746	8.84714993827182	9.96859337850917	10.0195866770802	10.0569476085309
RP11-84A14.5	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541	4.73636827958541
LZIC	9.71480973231397	9.636936672194	9.72660721692939	9.98943712554981	10.1043153864752	10.1554623165167
